,Model,Score,Value
8,XGBoost,test_accuracy,0.7680683311432326
9,XGBoost,test_accuracy,0.8173455978975033
10,XGBoost,test_precision,0.8263358778625954
11,XGBoost,test_precision,0.7198067632850241
12,XGBoost,test_precision,0.7317460317460317
13,XGBoost,test_precision,0.7644991212653779
14,XGBoost,test_precision,0.7772861356932154
15,XGBoost,test_recall,0.6610687022900763
16,XGBoost,test_recall,0.6834862385321101
17,XGBoost,test_recall,0.7048929663608563
18,XGBoost,test_recall,0.6651376146788991
19,XGBoost,test_recall,0.8058103975535168
20,XGBoost,test_f1_macro,0.7834360730749189
21,XGBoost,test_f1_macro,0.7430218885973361
22,XGBoost,test_f1_macro,0.7563100908412628
23,XGBoost,test_f1_macro,0.7587579807308484
24,XGBoost,test_f1_macro,0.8144540568605989
25,XGBoost,test_f1_micro,0.7944845699277742
26,XGBoost,test_f1_micro,0.7498358502954695
27,XGBoost,test_f1_micro,0.7623112278397898
28,XGBoost,test_f1_micro,0.7680683311432326
29,XGBoost,test_f1_micro,0.8173455978975032
30,XGBoost,test_f1_weighted,0.7902771481611346
31,XGBoost,test_f1_weighted,0.7489291537791857
32,XGBoost,test_f1_weighted,0.7617086032039545
33,XGBoost,test_f1_weighted,0.7654215760092772
34,XGBoost,test_f1_weighted,0.8177108451863753
